ENTITY_ID,SYS_ID,ADDRESS_LINE,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_COUNTRY,SUB_ENTITY_ID,BATCH_NO,BATCH_DATE
"HM10649","8691"," Mashkova St","","9/1 Moscow","Russia","","19790463","20130510"
"HM10649","8692"," No 9/1 Ulitsa Mashkova","","Moscow","Russia","","19790463","20130510"
"HM10650","8693"," London Wall 11th Floor","","London","United Kingdom","","19790463","20130510"
"HM10651","8694"," Ferdowsi Ave PO Box 11365-171","","Tehran","Iran","","19790463","20130510"
"HM10652","8695"," No 221 North Falamak-Zarafshan Intersection 4th Phase Shahkrak-E-Ghods","","Tehran","Iran","","19790463","20130510"
"HM10653","8696"," Corner of Imam Ali Highway and Babaei Highway","","Tehran","Iran","","19790463","20130510"
"HM10655","8697"," West side of Dabestan Street Abbas Abad District","","Tehran","Iran","","19790463","20130510"
"HM10656","8698"," PO Box 16315-189","","Tehran","Iran","","19790463","20130510"
"HM10656","8699"," West side of Dabestan Street Abbas Abad District","","Tehran","Iran","","19790463","20130510"
"HM10657","8700"," PO Box 16595-365","","Tehran","Iran","","19790463","20130510"
"HM10659","8701"," PO Box 18575-365","","Tehran","Iran","","19790463","20130510"
"HM10661","8702"," 3111 Ma. Bautista Punta Santa Ana","","Manila","Philippines","","19790463","20130510"
"HM10662","8703","","Atimonana","Quezon Province","Philippines","","19790463","20130510"
"HM10664","8704"," 50, Purdue Street","Cubao","Quezon City","Philippines","","19790463","20130510"
"HM10665","8705"," Concepcion","Zaragosa","Nueva Ecija","Philippines","","19790463","20130510"
"HM10666","8706"," 3111, Ma. Bautista Punta","Santa Ana","Manila","Philippines","","19790463","20130510"
"HM10667","8707"," 10th Avenue","","Caloocan City","Philippines","","19790463","20130510"
"HM10668","8708"," Barangay Mangayao","Tagkawayan","Quezon","Philippines","","19790463","20130510"
"HM10668","8709"," Barangay Tigib","Ayungon","Negros Oriental","Philippines","","19790463","20130510"
"HM10669","8710"," Barangay Mal-Ong","Anda","Pangasinan Province","Philippines","","19790463","20130510"
"HM10669","8711"," Number 50, Purdue Street","Cubao","Quezon City","Philippines","","19790463","20130510"
"HM10669","8712"," Sitio Dueg Barangay Maasin","San Clemente","Tarlac Province","Philippines","","19790463","20130510"
"HM10674","8713"," Mukoberwa","","North Kivu (as of June 2011)","","","19790463","20130510"
"HM10674","8714"," Mukoberwa","","North Kivu (as of June 2011)","","","19790463","20130510"
"HM10674","8715"," Mukoberwa","","North Kivu (as of June 2011)","","","19790463","20130510"
"HM10678","8716"," Matembe","","North Kivu (as of June 2011)","","","19790463","20130510"
"HM10678","8717"," Matembe","","North Kivu (as of June 2011)","","","19790463","20130510"
"HM10679","8718"," Nyakaleke (south-east of Mwenga)","","South Kivu","","","19790463","20130510"
"HM10679","8719"," Nyakaleke (south-east of Mwenga)","","South Kivu","","","19790463","20130510"
"HM10692","8720","","","","Algeria","","19790463","20130510"
"HM10692","8721","","","","Algeria","","19790463","20130510"
"HM10693","8722","","","","Algeria","","19790463","20130510"
"HM10734","8723"," 10th Floor Trustee House 55 Samora Machel Avenue PO Box 6597","","Harare","Zimbabwe","","19790463","20130510"
"HM10744","8724"," 90 Mutare Road PO Box 2628","","Harare","Zimbabwe","","19790463","20130510"
"HM10747","8725","","","Doha","Qatar","","19790463","20130510"
"HM10750","8726","","","","Germany (in prison since Sept 2007)","","19790463","20130510"
"HM10750","8727","","","","Germany (in prison since Sept 2007)","","19790463","20130510"
"HM10750","8728"," Bofinger Weg 20 89075 Ulm","","Germany (Previous address)","","","19790463","20130510"
"HM10750","8729"," Bofinger Weg 20 89075 Ulm","","Germany (Previous address)","","","19790463","20130510"
"HM10751","8730","","","","Germany (in prison since Sept 2007)","","19790463","20130510"
"HM10751","8731"," Petrusstrasse 32 66125 Herrensohr Dudweiler","","Saarbrucken","Germany (Previous address)","","19790463","20130510"
"HM10752","8732","","","","Germany (in prison since Sept 2007)","","19790463","20130510"
"HM10752","8733"," Sudliche Ringstrasse 133","","63225 Langen","Germany (Previous address)","","19790463","20130510"
"HM10753","8734"," Iltisstrasse 58","","24143 Kiel","Germany (previous address)","","19790463","20130510"
"HM10834","8735","","","","Pakistan (as at Apr 2009)","","19790463","20130510"
"HM10892","8736"," Central District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10893","8737"," Pot'onggang District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10893","8738"," Rakwon-dong Pothonggang District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10894","8739"," Saemul 1-Dong Pyongchon District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10905","8740"," Kauterackerweg 5","","89077 Ulm","Germany","","19790463","20130510"
"HM10906","8741"," House No 136 KDA Scheme No 1 Tipu Sultan Road","","Karachi","Pakistan","","19790463","20130510"
"HM10908","8742","","Ganj District","Peshawar","Pakistan","","19790463","20130510"
"HM10908","8743","","Ganj District","Peshawar","Pakistan","","19790463","20130510"
"HM10908","8744","","Ganj District","Peshawar","Pakistan","","19790463","20130510"
"HM10909","8745","","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10910","8746"," Sanaee Street","","Kish Island","Iran","","19790463","20130510"
"HM10911","8747"," Rakwon-dong Pothonggang District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10912","8748"," Haeudong Pyongchen District","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10913","8749","","","Pyongyang","Democratic People's Republic of Korea","","19790463","20130510"
"HM10921","8750","","","Bradford","United Kingdom","","19790463","20130510"
"HM10921","8751","","","Bradford","United Kingdom","","19790463","20130510"
"HM10929","8752","","","Mogadishu","Somalia","","19790463","20130510"
